A: They’re cleaning it up.	B-OO
K: I know.	I-OO
A: Yeah, Eve would do that.	I-OO
K: Eve would do that.	I-OO
A: Maybe.	I-OO
K: Oh it's broken, what did I do? Oh my gosh. This is...	I-OO
A: Thank you.	I-OO
K: Miss (?) where were you?	I-OO
T: I was (?). How did you get on?	O
K: Well Eve is, Eve is the step of world domination.	B-OO
A: It's okay, don’t worry.	I-OO
G: It was an accident.	I-OO
K: It was all her fault.	I-OO
A: I did the same thing.	I-OO
K: Eve is the one, I just noticed something, Eve is the one who spread ebola.	I-OO
G: Is there an Eve in this (?).	I-OO
A: Got to program everything all over again. Maybe we should scratch all our programming and start	B-A
G: Yeah trying something else.	B-OO
A: Okay now if we don’t get somewhere in like the next thirteen minutes.	I-OO
G: I've scratched it and then done it three times.	I-OO
A: Oh my god. Hey you better work, because we’re counting on you. Okay, okay.	I-OO
G: Wait, don’t touch it.	I-OO
K: I wasn’t touching it. I have an idea, we should bring our computer, wait no never mind.	B-A
G: It's working.	B-NSTO
A: No the cow, the cow, the cow.	I-NSTO
G: It came down this way then I need to angle.	B-DO
K: Hey.	B-OO
A: We figured out what happened.	B-DO
K: Georgie,	B-OO
A: Here,	I-OO
K: Georgie we should dele-, oh we should scratch all (?)	I-OO
A: No right there	I-OO
K: We should no, we should scratch the ones that we’re not using	I-OO
G: Okay, this, this one. That one we’re using just in case.	I-OO
K: Do you know what we’re doing wrong, here let me upload this.	I-OO
G: What are you doing?	I-OO
K: I'm, I'm, I'm putting this up on the computer.	I-OO
G: Because I figured out what we need to do.	I-OO
K: Hmm, hmm, what, what’s that?	I-OO
G: You’ll see.	I-OO
K: Where’s my phone?	I-OO
A: Whoever’s listening to this, goodbye, I'm turning you off again.	I-OO
K: Ha ha	I-OO
G: Why are you turning it off?	I-OO
K: No she’s not.	I-OO
A: Ha ha ha ha (joke’s on you). I was gonna turn it off.	I-OO
K: We’re friends right? Are we friends?	I-OO
G: No.	I-OO
A: No (seriously are we friends now).	I-OO
K: He doesn’t hear you Georgie or she. I just call, okay your name is Oliver, your name is Oliver. Hi Oliver.	I-OO
A: Everything’s all set up.	I-OO
K: I name the person who is listening me right now (?) his name’s Oliver. Hi Oliver how are you?	I-OO
A: Oh can I press it. I think it should be more that way.	B-A
K: Press it just press it.	B-OO
G: It was fine, here.	I-OO
A: Yes.	I-OO
K: Oh no, no it wasn’t,	I-OO
T: (?) baby fish	O
G: We weren’t going for the fish anyway, we were going for the ball and we’re not worrying about the fish.	B-A
A: It's going. No...	B-NSTO
K: You spread Ebola again.	B-OO
G: Why do you guys keep picking it up?	I-OO
A: It hit the thing, it was gonna go hi-...	B-DO
TM: Lets push this table back a little bit, there we go.	O
G: It may have hit but it doesn’t mean it's not working, it may just be stuck for a second. Don’t touch it	B-OO
A: See...	I-OO
<laughing>	O
A: Why is it like to the straight...	B-DO
G: Oh wait no leave it like that because then we have all these points	B-OO
A: Yee hah.	I-OO
<laughing>	O
K: Oh my gosh what is wrong, no we just learnt the creative way of getting...	B-OO
G:  (?).	O
K: ...all the virus we just (?) points.	B-OO
T: Cool	O
G: Let’s try this again.	B-OO
J: Yeah lets just...	I-OO
G: We have to make sure, we have to perfect the angle again. What are you doing?	B-A
K: I'm taping it.	B-OO
G: Okay so it has the... It was angled like right here.	B-A
A: Yeah	B-OO
A: Turn, turn.	B-DO
K: Oh my god Eve.	B-NSTO
<laughing>	O
K: Oh god (?).	B-NSTO
G: That doesn’t work.	I-NSTO
A: Ha ha ha	B-OO
G: It worked the first time.	B-NSTO
A: It's really like close (enough).	I-NSTO
G: Like this? No, I'm gonna position it because (?).	B-A
A: Like at this point we shouldn’t even care.	B-OO
K: Yeah but it's a competition.	I-OO
A: I didn’t come here to compete. Woooh  Evil, evil,	I-OO
G: Stop touching it, you keep moving the stuff, you keep picking it up, hey is this your phone?	I-OO
K: Yeah. Eve you didn’t try to steal it did you?	I-OO
A: Knowing that stupid thing it...	I-OO
G: Or did she? Or did she?	I-OO
A: Okay, okay Eve there you go, go, go, go.	B-NSTO
K: Can I try to program it?	B-OO
G: It worked, it worked so good.	B-NSTO
K: Hey let me try to program it?	B-OO
G: But we had programmed it. It worked, it worked we got a lot of points and then it didn’t work.	B-DO
A: It knocked the whole entire thing over.	I-DO
DGT: Where did you start it?	O
DGS: Here, here.	O
DGT: That’s (?) that’s why because that’s not (?) did it last time right? It's gotta be, each time you bring it back to base.	O
G: Where’s our angler?	B-A
K: It’s okay here’s our angler so.	I-A
G: We can angle it (?) next time	I-A
A: Right let me see the program, I wanna try and tweak it.	B-OO
K: Yeah you can help me tweak it, because, okay so I need to see what happens... So here’s what I'm trying	I-OO
A: Sorry.	I-OO
40:00 K: We, we can go straight like, like that and then like  we’re keeping the front and back.	B-ATO
A: So it goes forward. It comes backward.	I-ATO
K: Forward, backward and then instead we can go like a bit in front and then like no, wait a minute.	I-ATO
A: Don’t tweak anything past here.	I-ATO
K: Yeah. We move right. Ha ha, I think this is gonna work like that and then we...	I-ATO
A: We need Eve.	B-OO
G: Perfect ha ha	I-OO
A: We need Eve. I'm gonna go get Eve. We need her.	I-OO
K: Now I need this to be straight.	B-ATO
A: Give me the port.	B-OO
K: I'm taking it. Okay, see how it is so far, see how it is so far.	I-OO
A: Probably just messed the whole thing up.	I-OO
G: That’s the cow we accidently destroyed.	I-OO
K: Are you saying that (?).	I-OO
A: No I'm just saying that I'm (done with) this.	I-OO
G: We killed a cow. We knocked its head off.	I-OO
A: Is it good?	I-OO
G: Lets see you have a point here, you have a point there, you have four points there.	I-OO
A: I'm pressing it.	I-OO
K: Yeah, okay, press it. Okay try it, try it.	I-OO
DGT: Which program are you running right now?	O
DGS: (?).	O
DHT: That’s not the first (?) that you had, try the first one that you had.	O
K: Can we have Eve back please?	B-OO
T: (?) it's another virus.	O
A: Eve is ready to be tested one more.	B-OO
DGT: (?) you started it at lego and then it came a little and then it (?).	O
K: And then I’ll see what I can do next?	B-OO
<classroom chatter>	O
DGS: That one?	O
DGT: Yeah because then you can have it going straight right? Right lets (?).	O
A: Try it, it has been tweaked. All of ours is destructive.	B-OO
G: Press that...	I-OO
A: What are you doing? Restart...	B-NSTO
G: Lets try this again.	B-OO
K: How is it working?	I-OO
A: Awful. Oh it's slowly going backwards oh I see.	B-ATO
T: It's slowly going backwards.	O
K: Oh I see!	B-OO
G: What did you guys do to it?	I-OO
A: I didn’t, she did, I got it.	I-OO
K: Hey.	I-OO
A: Hey we all make mistakes.	I-OO
G: Where...	I-OO
K: So...	I-OO
A: Here I got it.	I-OO
G: It's right here, needs to go faster.	B-ATV
A: We had like a road map of what it like looked like. You are a naughty robot.	B-A
A: Wait, can we have some paper and a pen?	B-OO
YT: What?	O
A: Is it all set?	B-OO
K: Can we have some paper and a pen?	I-OO
YT: A pen?	O
K: I need a paper and a pen.	B-OO
A: Where’s our jig?	B-A
K: Oh okay. Aha thanks.	B-OO
G: No.	I-OO
A: That’s not right angle, (fix) all them fishes.	B-A
G: Proper grammar please?	B-OO
A: Close enough. Hey. Mm mm. Mm mm. You’re bad, you’re very bad.	B-NSTO
G: I'm just gonna do a whole other program.	B-OO
K: Oh paper, paper, paper.	I-OO
A: No I think we can,	I-OO
G: So we want it to move forward, how many five? Then after five we want it to reverse.	B-ATV
K: Okay so how is this gonna go? The base is right here right? There’s one right here, one right here. Wait I'm looking at the map, oh I'm sorry about that.	B-ATO
G: Then we want this to move to, that way.	I-ATO
A: So are we starting again.	B-OO
G: Yeah. Do a u-turn.	B-ATO
A: Whoever is listening, I am so sorry you have to listen to me for four hours.	B-OO
G: Me too.	I-OO
A: Like you must have an awful job, that or they’re just paying you a lot of money and you decided to do it.	I-OO
G: And then I need it right turn ...and then one, two, three, four, five. And then a slight left turn. And then...forward and then have to go straight, right turn...	B-ATO
K: Look this is a really rough scale of what we’re going through.	B-A
A: Ha, ha, ha, ha.	B-OO
K: What we’re going to do (it) (?). Hey guys.	I-OO
G: What?	I-OO
K: Okay so this is basically a really rough map, so maybe we can use this to help us program.	B-A
G: And then backwards.	B-ATO
A: That’s done.	B-OO
G: Done.	I-OO
A: Oh program it. Eve, Eve, Eve.	I-OO
K: Guys map.	I-OO
A: Lets go. And we have an idea of what we’re doing. I guess.	I-OO
K: Oh, yes...	I-OO
<laughing>	O
A: I swear if Eve can do that one more time.	B-NSTO
T: This is cool.	O
K: Oh gosh. Okay.	B-OO
YT: Now then need to program it to get back to the base and then...that’s pretty good	O
T: That’s pretty awesome.	O
A: No, we got to keep trying because she’s unpredictable.	B-DO
